,cell2_bc1018,520_1,cell2_bc1010,522_1,cell3_bc1010,26607014,19607016,cell3_bc1011,523_1,cell3_bc1009,64607015,518_1,cell2_bc1011,516_1,13607008,cell3_bc1008,cell2_bc1019,521_1,cell3_bc1017,13607012,61607011,cell2_bc1012,cell2_bc1021,cell3_bc1001,21607010,cell2_bc1020,cell2_bc1016,519_1,cell3_bc1003,cell2_bc1022,cell3_bc1016,61607009,cell3_bc1015,cell2_bc1009,62607013,517_1,cell2_bc1015,cell2_bc1017
0.5,,0.9997120790759711,,0.0731160938450338,,0.038823500095867,0.4659444206700117,,0.9571059476934112,,0.125216921983327,0.3089803342862866,,0.0754511140816872,0.3975315351374412,,,0.0990741720881092,,,0.2798476693595175,,,,0.3845164601023351,,,0.1311160563514659,,,,0.1738632579881265,,,0.4374114345411776,0.6438290497841512,,
1.0,0.2613448296760976,0.0148085531285414,0.3320385259945332,0.0708111099425945,0.4471506832914115,0.0275209485168667,0.46504530364244,0.2105849431955406,0.4470003643886702,0.591545479046401,0.9999999999999885,0.3070668891393113,0.4188406144056226,0.0496552669515631,0.3451159570483586,0.4085892619910153,0.9999984853347724,0.6994735783344183,0.1877936955080251,,0.2714868346537261,0.4779741761798167,0.1942066331560358,0.4388645867275087,0.3297023425235822,0.2731656455366017,0.4170356043451603,0.868596002941823,0.4596950304379964,0.3362602501237073,0.6004318560437479,0.1549834139094503,0.5651589661726993,0.3633969211682254,0.9822711856350436,0.6221275302252377,0.2533833006279365,0.7394372469457177
2.0,0.5809213399824878,0.726586960658932,0.328344261136543,0.0612253865060246,0.2112761716610905,0.0295719185590408,0.4652758824875582,0.6155804967976359,0.4442577942780642,0.56524121893192,0.9999555065101926,0.3037301937915174,0.4111056363342074,0.0576113512871827,0.9998985665816243,0.4063760374514909,0.3421645579997613,0.9828556455107296,0.9999992251245592,,0.2622702089271449,0.4757054891602305,0.1018562515164897,0.4413783833063534,0.3701952104338417,0.9356933232020352,0.4137894725108488,0.8540562663104803,0.4616035448912056,0.3268262056384333,0.3077399140349478,0.1799944636479559,0.7087840580796801,0.4318571075713147,0.4317750278510712,0.2940083327889362,0.3649071426595715,0.5992348667723079
2.5,0.5554436726292105,,0.3235128626550918,,0.1295302817001466,,,0.1897556089274665,,0.2234736313603889,,,0.4126588776180077,,,0.4025534308000413,0.7669262745283145,,0.5452351870739032,,,0.2176370969827005,0.174917568538227,0.4380792990955797,,0.2648416413561409,0.4092707531477424,,0.4579393795918449,0.3258360690115751,0.3031440764788165,,0.0944012925277136,0.1074525333135519,,,0.2291937133050171,0.1809422846825041
3.0,0.1019430503707609,0.0345396628591406,0.3290936441672597,0.0782670016380789,0.999434105779552,0.0496482689055822,0.4669656507556896,0.203702839240377,0.4472789948435972,0.2363913857471778,0.098937308068996,0.3036398308467113,0.4173688997474897,0.080278167868391,0.3819035350069248,0.403698367140399,0.3383780337887629,0.092772249101507,0.18828453923082,,0.2770150264205522,0.4642512434372398,0.1972234744839762,0.438167794572797,0.3674718857169654,0.2791609106528541,0.6256411464615111,0.7516542390686166,0.7050720786825171,0.5534584704122477,0.3044171732803503,0.1823141176562202,0.1091641396259992,0.5727034170552969,0.4344578927635201,0.3120501625767311,0.2488132800028816,0.4367245206434115
4.0,0.2245370547655049,0.0316415074954111,0.5968557211044826,0.0669287233333531,0.0399861977850233,0.0386427279275677,0.4668820572188581,0.4817252958289779,0.4470003643886702,0.9139967339823408,0.9937919013776602,0.3047588601479296,0.4111056363342074,0.0649353710398511,0.3873825374725358,0.4024816956794069,0.920906280318772,0.865157950294694,0.7132227985647166,0.3571685668323815,0.999973241243332,0.4757054891602305,0.1833271641001351,0.4403756216085229,0.3768981313123017,0.999665818839649,0.6287000269633947,0.1235808326005608,0.6998221950324826,0.7203216551624608,0.3041823153683385,0.9995013573211694,0.5346843419824503,0.3548837081493853,0.4326991596296005,0.3007381357584848,0.092772149223047,0.9887501080247858
4.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2774670601539935,,,,,,,,,,
4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2774670601539935,,,,,,,,,,
4.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2774670601539935,,,,,,,,,,
5.0,0.2536388023450432,0.5639521694876939,0.326432473588439,0.0708111099425945,0.985640112198797,0.0387101753913769,0.46504530364244,0.2041188880895019,0.4466995948421618,0.5651329420368273,0.909860176533574,0.3050746405060669,0.4153647010267744,0.0650555512353674,0.9997484039078984,0.4063760374514909,0.6009748523757843,0.6259083527047973,0.5579882400552754,0.3590962040593398,0.2714868346537261,0.4757054891602305,0.5656429067238399,0.4413783833063534,0.3731335712697176,0.2617745535145904,0.628699006361576,0.121177639823684,0.4559287413674362,0.3341443544295293,0.3077399140349478,0.1941604315085452,0.1046666280421953,0.3548837081493853,0.4356329310098083,0.7782005183119082,0.5113571489279403,0.3567810612161651
